Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
605.mcf_s-782B_4T,mlop,0.0445729,0.0443615,0.0438777,0.0436831,27230,3197,14,4,0
605.mcf_s-782B_4T,pythia,0.0868863,0.0862712,0.0858835,0.085982,8438,3769,12,0,0
605.mcf_s-782B_4T,ppf,0,0,0,0,0,0,0,0,0
605.mcf_s-782B_4T,dspatch,0.0882945,0.0880899,0.0838535,0.0876243,7585,4287,14,0,0
605.mcf_s-994B_4T,spp,0.244574,0.244379,0.244317,0.243796,1237,1135,34,0,0
605.mcf_s-994B_4T,bingo,0.237128,0.237301,0.237173,0.237264,1684,1048,34,0,0
605.mcf_s-994B_4T,mlop,0.241187,0.240286,0.240943,0.241134,1471,1110,34,0,0
605.mcf_s-994B_4T,pythia,0.247429,0.247492,0.247242,0.247765,1821,784,29,0,0
605.mcf_s-994B_4T,ppf,0,0,0,0,0,0,0,0,0
605.mcf_s-994B_4T,dspatch,0.240636,0.240073,0.240013,0.240508,1808,1011,34,0,0
620.omnetpp_s-141B_4T,spp,0.160665,0.160691,0.160717,0.160743,1221,1026,116,0,0
620.omnetpp_s-141B_4T,bingo,0.158661,0.158686,0.158739,0.158713,1185,1058,118,0,0
620.omnetpp_s-141B_4T,mlop,0.162775,0.162721,0.162832,0.162805,1392,971,112,0,0
620.omnetpp_s-141B_4T,pythia,0.173609,0.173539,0.173746,0.173831,1850,774,98,0,0
620.omnetpp_s-141B_4T,ppf,0,0,0,0,0,0,0,0,0
620.omnetpp_s-141B_4T,dspatch,0.163166,0.163017,0.163044,0.163138,1730,965,98,0,0
620.omnetpp_s-874B_4T,spp,0.177638,0.177662,0.177614,0.177633,1178,913,147,0,0
620.omnetpp_s-874B_4T,bingo,0.175286,0.17525,0.175223,0.17525,1111,958,151,0,0
620.omnetpp_s-874B_4T,mlop,0.178436,0.178464,0.178404,0.178431,1273,912,128,0,0
620.omnetpp_s-874B_4T,pythia,0.186514,0.186413,0.186489,0.186482,1731,735,127,0,0
620.omnetpp_s-874B_4T,ppf,0,0,0,0,0,0,0,0,0
620.omnetpp_s-874B_4T,dspatch,0.181811,0.18184,0.181744,0.181676,1836,827,115,0,0
623.xalancbmk_s-10B_4T,spp,0.205527,0.205792,0.205483,0.204644,1948,1517,0,0,0
623.xalancbmk_s-10B_4T,bingo,0.197726,0.197151,0.197675,0.197372,2332,1551,0,0,0
623.xalancbmk_s-10B_4T,mlop,0.198854,0.19946,0.199555,0.199429,2371,1580,0,0,0
623.xalancbmk_s-10B_4T,pythia,0.212372,0.210236,0.213731,0.21239,2854,1366,0,0,0
623.xalancbmk_s-10B_4T,ppf,0,0,0,0,0,0,0,0,0
623.xalancbmk_s-10B_4T,dspatch,0.209551,0.208949,0.209493,0.208307,2738,1485,0,0,0
623.xalancbmk_s-202B_4T,spp,0.63868,0.637471,0.636194,0.635801,1151,76,0,0,0
623.xalancbmk_s-202B_4T,bingo,0.346916,0.346798,0.346976,0.347451,1147,1147,0,0,0
623.xalancbmk_s-202B_4T,mlop,0.483546,0.481395,0.480751,0.47998,1165,546,0,0,0
623.xalancbmk_s-202B_4T,pythia,0.599439,0.599255,0.598853,0.59843,1299,252,0,0,0
623.xalancbmk_s-202B_4T,ppf,0,0,0,0,0,0,0,0,0
623.xalancbmk_s-202B_4T,dspatch,0.346916,0.346798,0.346976,0.347451,1147,1147,0,0,0
623.xalancbmk_s-592B_4T,spp,0.096298,0.096285,0.0962837,0.0962948,4290,3291,5,0,0
623.xalancbmk_s-592B_4T,bingo,0.0939877,0.0958358,0.0958772,0.0950441,7138,3183,5,0,0
623.xalancbmk_s-592B_4T,mlop,0.0884205,0.0884506,0.0883975,0.0883611,9885,3048,5,0,0
623.xalancbmk_s-592B_4T,pythia,0.0958399,0.0958555,0.0957476,0.0958307,6049,3254,5,0,0
623.xalancbmk_s-592B_4T,ppf,0,0,0,0,0,0,0,0,0
623.xalancbmk_s-592B_4T,dspatch,0.0996149,0.0996246,0.0986931,0.0996469,4983,3289,5,0,0
603.bwaves_s-1740B_4T,spp,0.959731,0.943754,0.961836,0.960265,1055,94,25,0,0
603.bwaves_s-1740B_4T,bingo,0.496308,0.507325,0.505627,0.497626,999,974,25,0,0
603.bwaves_s-1740B_4T,mlop,0.624997,0.657696,0.634656,0.65247,1134,513,25,0,0
603.bwaves_s-1740B_4T,pythia,1.09772,1.10475,1.09924,1.09747,1053,30,25,0,0
603.bwaves_s-1740B_4T,ppf,0,0,0,0,0,0,0,0,0
603.bwaves_s-1740B_4T,dspatch,0.496308,0.507325,0.505627,0.497626,999,974,25,0,0
603.bwaves_s-2609B_4T,spp,1.02766,1.03191,1.03862,1.02354,1080,94,23,0,0
603.bwaves_s-2609B_4T,bingo,0.548298,0.48951,0.554379,0.550445,1005,981,24,0,0
603.bwaves_s-2609B_4T,mlop,0.729115,0.674627,0.734085,0.731958,1181,510,24,0,0
603.bwaves_s-2609B_4T,pythia,1.19462,1.0666,1.07624,1.08885,1039,34,24,0,0
603.bwaves_s-2609B_4T,ppf,0,0,0,0,0,0,0,0,0
603.bwaves_s-2609B_4T,dspatch,0.548298,0.48951,0.554379,0.550445,1005,981,24,0,0
603.bwaves_s-2931B_4T,spp,0.976869,1.01585,1.08904,1.03601,817,76,292,0,0
603.bwaves_s-2931B_4T,bingo,0.492422,0.497018,0.490475,0.497236,777,485,292,0,0
603.bwaves_s-2931B_4T,mlop,0.487644,0.496002,0.480105,0.496722,863,476,294,0,0
603.bwaves_s-2931B_4T,pythia,1.38143,1.38761,1.39094,1.38897,797,12,288,0,0
603.bwaves_s-2931B_4T,ppf,0,0,0,0,0,0,0,0,0
603.bwaves_s-2931B_4T,dspatch,0.492422,0.497018,0.490475,0.497236,777,485,292,0,0
607.cactuBSSN_s-2421B_4T,spp,0.444482,0.445943,0.436154,0.445061,1456,783,54,0,0
607.cactuBSSN_s-2421B_4T,bingo,0.437598,0.425789,0.438901,0.427422,1235,1181,54,0,0
607.cactuBSSN_s-2421B_4T,mlop,0.315342,0.310756,0.316418,0.322504,4452,835,54,0,0
607.cactuBSSN_s-2421B_4T,pythia,0.465408,0.468723,0.465667,0.465191,2205,504,54,0,0
607.cactuBSSN_s-2421B_4T,ppf,0,0,0,0,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,dspatch,0.431031,0.4439,0.436681,0.437884,1893,958,54,0,0
607.cactuBSSN_s-3477B_4T,spp,0.455159,0.455839,0.456506,0.456681,1318,633,75,0,0
607.cactuBSSN_s-3477B_4T,bingo,0.456343,0.475304,0.462693,0.462485,1054,978,76,0,0
607.cactuBSSN_s-3477B_4T,mlop,0.311128,0.322525,0.328867,0.316805,4931,663,76,0,0
607.cactuBSSN_s-3477B_4T,pythia,0.499765,0.460955,0.489026,0.476559,2136,346,66,0,0
607.cactuBSSN_s-3477B_4T,ppf,0,0,0,0,0,0,0,0,0
607.cactuBSSN_s-3477B_4T,dspatch,0.446391,0.443607,0.448065,0.457434,1884,804,76,0,0
607.cactuBSSN_s-4004B_4T,spp,0.494291,0.501535,0.485976,0.493433,1229,578,78,0,0
